G5oh_A01_n4	G6oh_A02_n3	G6oh_A03_n6	G6oh_A03_n7	G6oh_A03_n3	G7oh_A03_n4	G8oh_A01_n2	G8oh_A01_n3	G8oh_A03_n3
112.964	249.838	134.654	117.58	130.6258	115.074		187.439	108.872
113.076	250.127	134.776	117.736	130.7452	115.191		187.623	108.91
113.251	250.473	134.887	117.848	130.9311	115.4		187.826	109.238
113.349	250.741	134.989	118.057	131.099	115.489		188.112	109.327
113.52	251.047	135.212	118.2	131.2179	115.628		188.293	109.41
113.673	251.273	135.347	118.328	131.3351	115.731		188.603	109.434
113.8	251.559	135.52	118.498	131.5234	115.891		188.888	109.727
113.878	251.788	135.721	118.62	131.6723	115.983		189.098	109.753
114.045	252.084	135.831	118.792	131.8319	116.09		189.47	109.782
114.137	252.326	135.929	118.933	131.9452	116.219		189.747	109.872
114.312	252.769	136.039	119.036	132.0953	116.298		189.945	110.023
114.409	253.05	136.253	119.221	132.2545	116.448		190.06	110.09
114.514	253.366	136.397	119.328	132.4065	116.55		190.267	110.123
114.61	253.647	136.512	119.462	132.5586	116.664		190.434	110.214
114.88	253.984	136.614	119.669	132.677	116.831		190.694	110.358
115.011	254.296	136.714	119.776	132.8477	116.947		191.069	110.384
115.097	254.557	136.838	119.903	133.0063	117.066		191.299	110.459
115.214	254.828	136.954	120.101	133.2347	117.157		191.513	110.829
115.34	255.131	137.101	120.266	133.428	117.286		191.766	110.94
115.489	255.414	137.183	120.414	133.5495	117.438		191.968	111.038
115.557	255.683	137.284	120.571	133.7182	117.524		192.173	111.262
115.723	255.952	137.448	120.726	133.8658	117.692		192.359	111.385
115.826	256.231	137.566	120.875	133.9946	117.879		192.532	111.419
115.938	256.52	137.685	120.999	134.1436	117.987		192.779	111.481
116.074	256.768	137.736	121.169	134.303	118.094		193.045	111.891
116.308	257.013	137.959	121.362	134.4658	118.253		193.315	111.92
116.462	257.411	138.06	121.494	134.6639	118.352		193.499	111.946
116.543	257.645	138.183	121.599	134.8204	118.497		193.637	112.035
116.647	258.019	138.288	121.758	134.9951	118.629		193.835	112.082
116.846	258.284	138.443	121.891	135.1464	118.722		194.095	112.358
116.97	258.553	138.539	122.035	135.2874	118.882		194.255	112.385
117.075	258.89	138.86	122.147	135.5085	119.002		194.518	112.445
117.203	259.198	138.922	122.274	135.6043	119.182		194.763	112.475
117.324	259.447	139.132	122.512	135.7665	119.322		195.067	112.621
117.463	259.711	139.267	122.608	135.9619	119.452		195.262	112.654
117.578	260.024	139.408	122.749	136.0907	119.582		195.532	112.781
117.676	260.259	139.645	122.852	136.2139	119.732		195.714	112.864
117.789	260.507	139.729	123.053	136.3703	119.881		195.932	112.923
117.977	260.827	139.858	123.146	136.5263	120.136		196.22	112.97
118.053	261.103	139.956	123.288	136.7051	120.269		196.533	112.998
118.173	261.408	140.285	123.456	136.8275	120.462		196.752	113.166
118.296	261.696	140.388	123.567	136.9838	120.553		196.981	113.19
118.486	262.062	140.639	123.747	137.1343	120.7		197.231	113.359
118.593	262.346	140.772	123.88	137.3204	120.829		197.406	113.388
118.725	262.628	140.85	123.976	137.4485	120.961		197.661	113.424
118.818	262.925	141.182	124.094	137.6241	121.081		197.865	113.522
118.947	263.269	141.29	124.277	137.7853	121.286		198.173	113.579
119.06	263.479	141.406	124.451	137.9366	121.382		198.407	113.79
119.191	263.776	141.669	124.606	138.0639	121.504		198.652	113.854
119.404	264.009	141.8	124.731	138.2226	121.68		198.892	113.901
119.476	264.359	141.944	124.823	138.3489	121.76		199.1	113.944
119.676	264.68	142.163	124.976	138.5319	121.902		199.334	114.212
119.768	264.911	142.261	125.086	138.7199	122.027		199.483	114.343
119.925	265.134	142.426	125.248	138.8264	122.129		199.728	114.357
120.096	265.482	142.562	125.397	139.0139	122.27		199.951	114.408
120.196	265.764	142.76	125.706	139.1171	122.377		200.352	114.473
120.34	266.028	142.909	125.923	139.2652	122.551		200.549	114.51
120.511	266.315	142.982	126.021	139.4623	122.709		200.831	114.896
120.608	266.628	143.101	126.26	139.5959	122.871		201.182	115.443
120.723	266.863	143.463	126.377	139.7163	123.004		201.414	115.549
120.838	267.212	143.61	126.525	139.9074	123.131		201.654	115.629
120.93	267.454	143.713	126.636	140.0251	123.283		201.887	115.782
121.083	267.803	143.903	126.781	140.1123	123.5		202.101	115.838
121.192	268.055	144.004	127.017	140.2755	123.673		202.431	115.944
121.353	268.349	144.204	127.163	140.4446	123.787		202.606	116.021
121.451	268.616	144.464	127.275	140.5531	123.875		202.835	116.073
121.553	268.961	144.694	127.426	140.7319	124.048		203.067	116.478
121.705	269.235	144.873	127.61	140.8443	124.178		203.251	116.509
121.814	269.512	145.039	127.706	141.0068	124.338		203.573	116.768
121.925	269.852	145.244	127.83	141.1578	124.487		203.759	116.824
122.054	270.14	145.505	127.981	141.3078	124.615		203.935	117.078
122.177	270.44	145.642	128.102	141.4451	124.748		204.303	117.107
122.313	270.76	145.87	128.281	141.5867	124.852		204.508	117.13
122.419	271.172	145.994	128.392	141.7701	125.045		204.773	117.356
122.56	271.479	146.145	128.544	141.8803	125.17		205.007	117.384
122.68	271.777	146.274	128.73	142.0449	125.317		205.151	117.421
122.79	272.01	146.518	128.87	142.1625	125.471		205.367	117.494
122.924	272.268	146.683	129.001	142.377	125.611		205.526	117.514
123.055	272.61	146.865	129.189	142.5041	125.787		205.752	117.787
123.208	272.869	147.056	129.279	142.6391	125.902		205.953	117.814
123.375	273.213	147.129	129.412	142.7672	126.007		206.302	117.854
123.527	273.512	147.283	129.533	142.9387	126.244		206.525	117.893
123.699	273.784	147.514	129.694	143.1056	126.314		206.694	117.948
123.778	274.09	147.718	129.82	143.2338	126.456		206.937	118.338
124.021	274.355	147.802	129.93	143.3411	126.653		207.157	118.436
124.129	274.612	148.003	130.085	143.5731	126.791		207.487	118.46
124.314	274.907	148.141	130.214	143.6951	126.925		207.71	118.498
124.381	275.194	148.271	130.317	143.8474	127.101		207.917	118.58
124.48	275.559	148.374	130.507	143.9835	127.204		208.089	118.864
124.605	275.828	148.494	130.62	144.1263	127.311		208.303	118.941
124.745	276.147	148.59	130.728	144.3131	127.495		208.554	119.556
124.916	276.449	148.757	130.865	144.4179	127.661		208.768	119.684
124.999	276.764	149.063	130.96	144.6108	127.769		208.989	119.753
125.095	276.927	149.144	131.066	144.7507	128.012		209.305	119.789
125.196	277.205	149.29	131.206	144.9031	128.15		209.502	119.852
125.304	277.493	149.523	131.336	145.0423	128.244		209.63	119.906
125.592	277.798	149.709	131.455	145.2163	128.406		209.878	119.948
125.684	278.07	149.883	131.608	145.381	128.52		210.286	120.045
125.856	278.339	149.987	131.719	145.5343	128.664		210.441	120.084
125.995	278.597	150.395	131.873	145.6814	128.827		210.652	120.151
126.066	278.922	150.486	132.003	145.8732	129.016		210.85	120.3
126.186	279.219	150.618	132.108	146.0464	129.127		211.052	120.323
126.303	279.508	150.746	132.267	146.1303	129.421		211.239	120.49
126.429	279.8	151.023	132.365	146.29	129.493		211.453	120.512
126.567	280.034	151.146	132.468	146.4246	129.617		211.652	120.593
126.648	280.325	151.254	132.626	146.5801	129.721		211.781	120.636
126.855	280.605	151.56	132.723	146.7239	129.89		212.016	120.671
126.964	280.889	151.676	132.845	146.8991	130.092		212.106	120.809
127.066	281.17	151.951	132.983	147.0443	130.182		212.555	120.87
127.194	281.421	152.145	133.105	147.2062	130.312		212.904	121.102
127.408	281.703	152.331	133.199	147.3768	130.497		213.122	121.116
127.585	282.01	152.529	133.351	147.5404	130.624		213.315	121.146
127.732	282.24	152.771	133.464	147.6852	130.81		213.585	121.4
127.86	282.507	153.05	133.639	147.8547	130.994		213.81	121.433
127.96	282.867	153.227	133.787	147.9795	131.228		214.033	121.455
128.099	283.231	153.346	133.904	148.1227	131.296		214.262	121.575
128.197	283.577	153.463	134.022	148.3674	131.512		214.486	121.618
128.311	283.785	153.786	134.125	148.449	131.703		214.686	121.664
128.449	284.077	153.987	134.281	148.5914	131.851		214.884	121.716
128.555	284.38	154.152	134.461	148.735	131.97		214.989	121.848
128.683	284.681	154.341	134.548	148.8966	132.114		215.207	121.865
128.882	284.972	154.613	134.669	149.0851	132.29		215.352	121.924
128.998	285.227	154.761	134.821	149.1854	132.376		215.734	122.152
129.305	285.565	154.947	134.945	149.3714	132.472		216.111	122.411
129.408	285.787	155.206	135.063	149.5201	132.666		216.332	122.449
129.581	286.112	155.352	135.188	149.6649	132.943		216.535	122.52
129.683	286.43	155.498	135.427	149.8443	133.127		216.841	122.896
129.791	286.696	155.656	135.524	149.9856	133.218		217.054	123.019
129.919	286.984	155.833	135.628	150.1156	133.528		217.219	123.064
130.022	287.223	156.102	135.819	150.3253	133.632		217.38	123.216
130.135	287.572	156.291	135.942	150.4927	133.807		217.725	123.263
130.229	287.843	156.505	136.083	150.6329	134.027		217.948	123.368
130.436	288.101	156.696	136.215	150.7862	134.118		218.137	123.428
130.512	288.378	156.873	136.301	150.9496	134.259		218.368	123.467
130.642	288.749	156.989	136.503	151.0803	134.519		218.558	123.541
130.787	289.031	157.176	136.591	151.2407	134.639		218.766	123.56
130.893	289.289	157.447	136.769	151.4142	134.821		218.951	123.657
131.136	289.482	157.6	136.89	151.5631	134.979		219.102	123.702
131.257	289.764	157.692	137.057	151.7463	135.079		219.202	123.813
131.38	290.079	157.812	137.179	151.9232	135.322		219.458	123.847
131.566	290.349	157.994	137.303	152.1029	135.881		219.721	123.899
131.706	290.676	158.163	137.434	152.21	136.075		220.091	123.918
131.787	290.949	158.371	137.583	152.4587	136.432		220.357	124.351
131.896	291.245	158.518	137.728	152.5956	136.659		220.563	124.418
132.034	291.503	158.752	137.856	152.7037	137.12		220.792	124.46
132.279	291.886	158.89	138.049	152.8928	137.26		220.971	124.521
132.482	292.128	159.09	138.203	153.0404	137.341		221.203	124.572
132.594	292.411	159.326	138.343	153.1451	137.787		221.389	124.594
132.704	292.673	159.39	138.46	153.3275	137.917		221.501	124.697
132.919	293.07	159.522	138.566	153.438	138.056		221.739	124.776
133.073	293.363	159.825	138.684	153.6272	138.498		222.106	124.829
133.16	293.654	160.029	138.843	153.7386	138.627		222.533	124.903
133.268	293.922	160.165	138.964	153.8856	138.971		222.741	124.972
133.39	294.234	160.281	139.089	154.0765	139.295		222.897	125.01
133.521	294.478	160.473	139.235	154.1779	139.434		223.081	125.125
133.671	294.81	160.701	139.341	154.3991	140.037		223.279	125.168
133.746	295.084	160.88	139.536	154.5204	140.282		223.452	125.286
133.873	295.395	161.07	139.658	154.6907	140.402		223.769	125.697
134.016	295.695	161.208	139.825	154.8279	140.668		223.978	125.729
134.112	295.972	161.337	139.943	154.9485	140.767		224.221	125.749
134.242	296.297	161.616	140.052	155.075	141.219		224.477	125.822
134.35	296.54	161.794	140.178	155.2881	141.493		224.683	125.899
134.456	296.868	162.068	140.316	155.4137	141.907		224.913	126.086
134.548	297.185	162.19	140.475	155.5622	142.165		225.179	126.109
134.731	297.504	162.341	140.583	155.6865	142.31		225.373	126.136
134.841	297.746	162.535	140.75	155.8863	142.827		225.487	126.262
135.019	297.987	162.773	140.936	156.0346	143.034		225.614	126.339
135.118	298.324	162.96	141.114	156.1608	143.516		225.951	126.635
135.24	298.582	163.166	141.309	156.3217	143.658		226.333	126.69
135.396	298.952	163.345	141.461	156.5251	144.04		226.517	126.874
135.49	299.177	163.479	141.596	156.6717	144.191		226.721	126.926
135.601	299.49	163.605	141.789	156.8171	144.417		226.933	126.967
135.716	299.755	163.775	141.909	156.962	144.957		227.097	127.051
136.015	300.216	163.885	142.141	157.1102	145.18		227.341	127.098
136.139	300.485	164.142	142.282	157.2062	145.449		227.594	127.147
136.221	300.79	164.21	142.357	157.3699	145.575		227.752	127.588
136.354	301.176	164.515	142.641	157.5353	145.77		227.964	128.023
136.443	301.389	164.658	142.756	157.7116	146.03		228.119	128.112
136.56	301.666	164.755	142.881	157.8329	146.173		228.353	128.224
136.653	301.947	164.886	143.029	157.9738	146.412		228.843	128.278
136.846	302.235	165.038	143.203	158.1278	146.698		229.042	128.424
137.097	302.553	165.295	143.313	158.2726	146.853		229.313	128.454
137.219	302.861	165.456	143.535	158.4252	147.155		229.498	128.504
137.362	303.117	165.566	143.724	158.5675	147.398		229.761	128.865
137.487	303.477	165.698	143.817	158.7587	147.499		229.983	128.902
137.605	303.745	165.948	143.965	158.9228	147.686		230.208	128.94
137.709	304.168	166.079	144.115	159.0855	148.042		230.445	128.979
137.823	304.468	166.277	144.218	159.2217	148.264		230.619	129.508
137.986	304.749	166.493	144.347	159.3749	148.38		230.801	129.547
138.088	305.028	166.584	144.54	159.5443	148.447		231.01	129.597
138.237	305.321	166.764	144.633	159.6579	148.917		231.443	129.883
138.351	305.595	167.019	144.775	159.8188	149.15		231.698	129.916
138.481	305.876	167.108	144.876	159.9466	149.247		231.928	129.949
138.555	306.222	167.203	145.002	160.0883	149.503		232.131	130.013
138.737	306.449	167.291	145.144	160.256	149.847		232.335	130.436
138.873	306.831	167.552	145.248	160.3411	150.073		232.6	130.482
138.98	307.072	167.645	145.418	160.5243	150.276		232.861	130.518
139.085	307.332	167.777	145.527	160.6816	150.661		233.064	130.672
139.228	307.633	167.931	145.646	160.7691	150.874		233.207	130.717
139.494	307.962	168.132	145.815	161.035	151.237		233.463	130.818
139.601	308.227	168.358	145.961	161.1302	151.387		233.649	130.951
139.702	308.487	168.504	146.053	161.3007	151.703		233.845	131.001
139.843	308.806	168.591	146.151	161.4222	151.884		234.135	131.109
139.945	309.089	168.668	146.331	161.5608	152.266		234.342	131.129
140.114	309.3	168.858	146.443	161.6958	152.554		234.625	131.311
140.371	309.62	168.999	146.568	161.8719	153.025		234.867	131.339
140.49	309.938	169.164	146.713	161.9887	153.213		235.05	131.379
140.576	310.165	169.273	146.789	162.1379	153.376		235.159	131.69
140.747	310.422	169.466	146.904	162.3199	153.844		235.536	132
140.893	310.713	169.567	147.047	162.44	154.017		235.916	132.041
141.011	311.081	169.784	147.157	162.602	154.128		236.122	132.076
141.129	311.333	169.897	147.339	162.7296	154.281		236.319	132.135
141.231	311.634	170.045	147.445	162.8791	154.964		236.567	132.188
141.38	311.942	170.27	147.553	163.0535	155.16		236.743	132.379
141.493	312.237	170.47	147.68	163.1771	155.427		236.968	132.52
141.606	312.625	170.551	147.836	163.2884	155.571		237.191	132.556
141.794	312.877	170.754	147.936	163.4814	155.849		237.4	132.701
141.91	313.206	170.893	148.022	163.6091	155.962		237.596	132.721
142.014	313.519	171.007	148.149	163.7918	156.174		237.814	132.791
142.182	313.775	171.146	148.31	163.9286	156.295		238.01	132.876
142.314	314.118	171.267	148.433	164.1422	156.67		238.303	133.01
142.389	314.41	171.353	148.573	164.2584	156.928		238.573	133.067
142.554	314.615	171.517	148.714	164.3862	157.123		239.005	133.105
142.697	314.906	171.657	148.892	164.4973	157.319		239.217	133.165
142.811	315.141	171.729	149.01	164.6686	157.586		239.427	133.29
143.043	315.453	171.988	149.172	164.8283	157.81		239.582	133.73
143.164	315.773	172.113	149.291	165.0699	158.098		239.794	133.785
143.286	316.05	172.303	149.435	165.2075	158.202		239.978	133.97
143.365	316.382	172.467	149.574	165.3395	158.518		240.064	134.01
143.533	316.588	172.639	149.692	165.5419	158.727		240.256	134.101
143.673	316.844	172.791	149.802	165.6218	158.792		240.443	134.161
143.771	317.164	172.88	149.888	165.7944	158.911		240.748	134.203
143.903	317.514	172.969	150.076	165.9678	159.105		240.919	134.548
143.991	317.791	173.365	150.195	166.1365	159.275		241.172	134.602
144.161	318.011	173.517	150.337	166.3271	159.499		241.744	134.65
144.345	318.345	173.745	150.458	166.4621	159.788		241.975	134.704
144.445	318.627	173.933	150.624	166.5914	160.233		242.148	134.805
144.553	318.986	174.168	150.79	166.7575	160.419		242.38	134.835
144.69	319.251	174.263	150.927	166.957	160.532		242.582	134.86
144.805	319.53	174.507	151.075	167.1146	160.68		242.761	134.945
144.888	319.812	174.729	151.234	167.296	161.025		242.97	135.006
145.024	320.085	174.893	151.337	167.3992	161.23		243.208	135.145
145.155	320.356	175.138	151.583	167.5641	161.529		243.433	135.189
145.295	320.721	175.391	151.753	167.6922	161.796		243.626	135.21
145.375	320.896	175.626	151.886	167.8887	162.007		243.807	135.281
145.548	321.251	175.811	152.086	167.9941	162.121		244.003	135.315
145.641	321.555	176.004	152.183	168.1263	162.404		244.567	135.444
145.751	321.9	176.201	152.251	168.2502	162.494		244.873	135.494
145.863	322.178	176.526	152.544	168.3839	162.9		245.129	135.535
145.997	322.385	176.649	152.678	168.5885	163.163		245.321	135.637
146.263	322.694	176.905	152.856	168.6879	163.545		245.537	135.667
146.384	323.03	177.067	152.954	168.8852	163.752		245.789	135.766
146.453	323.314	177.335	153.108	168.9903	163.863		245.986	135.986
146.654	323.626	177.544	153.165	169.1678	164.163		246.191	136.084
146.791	323.922	177.726	153.326	169.2903	164.502		246.413	136.117
146.917	324.178	177.841	153.502	169.4769	164.676		246.659	136.163
147.073	324.617	178.076	153.642	169.6807	164.772		246.857	136.212
147.227	324.86	178.357	153.744	169.8199	165.064		247.049	136.351
147.356	325.063	178.542	153.851	169.951	165.484		247.216	136.374
147.462	325.335	178.71	153.993	170.0725	165.643		247.402	136.455
147.578	325.664	178.899	154.142	170.2217	165.853		247.682	136.615
147.711	325.926	179.226	154.292	170.3536	166.053		248.083	136.639
147.799	326.226	179.41	154.427	170.4799	166.295		248.329	136.665
148.129	326.533	179.541	154.536	170.6087	166.692		248.515	136.749
148.2	326.872	179.788	154.704	170.7995	166.819		248.773	136.792
148.335	327.092	179.986	154.769	170.992	167.166		249.02	137.132
148.436	327.368	180.105	154.929	171.1576	167.307		249.187	137.166
148.533	327.627	180.343	155.039	171.2771	167.536		249.396	137.216
148.732	327.935	180.574	155.225	171.461	167.775		249.602	137.238
148.842	328.206	180.693	155.338	171.6143	168.041		249.82	137.374
148.945	328.593	180.961	155.447	171.7864	168.469		250.004	137.446
149.063	328.863	181.228	155.564	171.8987	168.655		250.233	137.479
149.238	329.093	181.468	155.687	172.0211	168.914		250.409	137.62
149.314	329.376	181.733	155.835	172.1862	169.17		250.6	137.651
149.462	329.686	181.95	156.01	172.434	169.322		250.765	137.713
149.593	329.915	182.137	156.121	172.5251	169.58		250.953	137.84
149.729	330.284	182.338	156.257	172.714	169.964		251.16	137.874
149.82	330.592	182.507	156.345	172.8356	170.129		251.333	137.986
149.96	330.852	182.69	156.469	173.0083	170.263		251.48	138.131
150.029	331.165	182.87	156.609	173.1103	170.359		251.696	138.178
150.132	331.438	183.109	156.72	173.253	170.77		251.883	138.279
150.338	331.713	183.3	156.856	173.4117	170.908		252.114	138.377
150.482	331.989	183.539	156.99	173.5475	171.036		252.309	138.492
150.612	332.34	183.779	157.089	173.6425	171.273		252.679	138.573
150.73	332.666	183.941	157.181	173.9051	171.638		252.939	138.6
150.831	333.057	184.146	157.319	174.0337	171.857		253.156	138.663
150.955	333.333	184.349	157.457	174.1444	172.192		253.407	138.766
151.108	333.576	184.584	157.593	174.2795	172.479		253.605	138.787
151.192	333.989	184.778	157.707	174.3968	172.641		253.778	139.14
151.341	334.256	185.046	157.89	174.5317	172.916		253.959	139.172
151.467	334.599	185.212	158.022	174.7465	173.068		254.152	139.2
151.573	334.91	185.36	158.15	174.8779	173.268		254.334	139.333
151.688	335.194	185.55	158.303	175.0264	173.521		254.568	139.39
151.875	335.448	185.85	158.422	175.2303	173.733		254.748	139.577
151.973	335.786	185.961	158.54	175.3521	173.831		254.901	139.608
152.073	336.102	186.212	158.657	175.5477	173.981		255.089	139.626
152.255	336.395	186.448	158.782	175.6828	174.154		255.292	139.839
152.353	336.726	186.599	158.918	175.8414	174.357		255.514	139.871
152.508	337.144	186.86	159.039	175.9423	174.451		255.712	139.947
152.768	337.636	187.094	159.205	176.0611	174.84		255.91	139.977
152.862	337.827	187.22	159.304	176.2115	175.09		256.066	140.066
152.974	338.13	187.339	159.475	176.4117	175.271		256.258	140.139
153.052	338.462	187.688	159.582	176.5164	175.498		256.692	140.167
153.188	338.783	187.904	159.737	176.7147	175.575		256.808	140.217
153.411	339.117	188.163	159.907	176.9136	175.898		257.087	140.602
153.616	339.431	188.393	160.055	177.0146	176.056		257.408	140.701
153.72	339.735	188.607	160.243	177.1479	176.349		257.622	140.816
153.808	340.041	188.867	160.348	177.2914	176.476		257.883	140.862
153.908	340.446	189.082	160.516	177.4871	176.603		258.041	140.913
154.075	340.639	189.218	160.674	177.6412	176.729		258.265	141.252
154.203	340.988	189.378	160.824	177.7831	176.982		258.417	141.301
154.341	341.244	189.536	160.942	177.9452	177.21		258.665	141.331
154.483	341.61	189.67	161.058	178.0817	177.401		258.83	141.379
154.602	341.887	189.825	161.16	178.2221	177.615		258.977	141.711
154.75	342.165	189.965	161.271	178.4481	177.874		259.236	141.745
154.826	342.453	190.124	161.385	178.6332	178.072		259.441	141.769
154.952	342.809	190.387	161.486	178.7794	178.34		259.633	141.888
155.127	343.087	190.542	161.646	178.8976	178.446		259.833	141.913
155.227	343.42	190.746	161.842	179.0492	178.558		260.023	141.943
155.43	343.789	190.922	161.99	179.1759	178.803		260.19	142.096
155.561	344.092	191.078	162.107	179.3295	179.068		260.424	142.115
155.664	344.387	191.335	162.233	179.4836	179.156		260.643	142.184
155.779	344.735	191.461	162.381	179.6424	179.557		260.788	142.374
155.965	345.123	191.744	162.475	179.8229	179.756		260.929	142.404
156.072	345.393	191.924	162.601	179.9479	179.957		261.133	142.511
156.161	345.688	192.035	162.745	180.1422	180.015		261.343	142.57
156.359	346.011	192.265	162.88	180.2897	180.123		261.451	142.933
156.503	346.328	192.56	163.05	180.4626	180.363		261.647	142.958
156.731	346.638	192.759	163.167	180.6187	180.567		262.013	142.987
156.946	346.904	192.936	163.281	180.7742	180.694		262.131	143.031
157.025	347.248	193.127	163.375	180.9189	180.909		262.307	143.059
157.141	347.715	193.369	163.498	180.9976	181.087		262.544	143.219
157.271	348.034	193.506	163.668	181.1688	181.145		262.898	143.261
157.371	348.311	193.836	163.758	181.371	181.492		263.148	143.313
157.533	348.584	194.086	163.875	181.4683	181.668		263.36	143.476
157.678	348.906	194.283	163.99	181.6247	181.797		263.573	143.556
157.822	349.219	194.488	164.103	181.7215	182.031		263.797	143.594
157.921	349.503	194.644	164.353	181.8985	182.138		263.985	144.595
158.087	349.827	194.788	164.466	182.0595	182.394		264.225	144.637
158.261	350.102	194.946	164.643	182.1729	182.523		264.423	144.701
158.364	350.523	195.211	164.737	182.3344	182.679		264.594	145.154
158.551	350.85	195.329	164.854	182.4944	182.885		264.753	145.206
158.628	351.211	195.552	165.009	182.6511	182.995		264.938	145.255
158.79	351.489	195.673	165.093	182.8335	183.136		265.07	145.381
158.879	351.812	195.911	165.226	182.9953	183.552		265.303	145.405
159.092	352.07	196.023	165.376	183.1399	183.657		265.461	146.148
159.214	352.421	196.116	165.477	183.3062	183.84		265.655	146.197
159.362	352.729	196.276	165.623	183.4183	184.088		265.87	146.344
159.5	353.089	196.619	165.718	183.5645	184.506		266.077	146.389
159.708	353.54	196.76	165.835	183.7281	184.65		266.208	146.424
159.876	353.834	196.965	165.974	183.8808	184.92		266.376	146.738
159.958	354.112	197.13	166.088	184.0457	185.057		266.609	146.823
160.147	354.458	197.309	166.237	184.1698	185.307		266.769	146.909
160.239	354.759	197.513	166.348	184.3748	185.403		266.914	147.038
160.337	355.091	197.733	166.462	184.4968	185.66		267.084	147.078
160.473	355.428	197.845	166.614	184.6585	185.822		267.281	147.165
160.585	355.729	197.938	166.756	184.8462	185.995		267.435	147.397
160.842	356.047	198.183	166.847	185.0205	186.107		267.605	147.432
160.971	356.423	198.366	166.992	185.1749	186.288		267.806	147.528
161.063	356.639	198.652	167.164	185.301	186.489		267.952	147.732
161.196	357.104	198.904	167.288	185.4329	186.688		268.137	147.759
161.319	357.363	199.072	167.379	185.5683	186.861		268.245	147.838
161.416	357.684	199.31	167.477	185.7443	187.091		268.44	147.868
161.563	358.018	199.487	167.637	185.9028	187.243		268.575	148.193
161.651	358.312	199.741	167.713	186.0461	187.361		268.798	148.25
161.801	358.637	199.88	167.991	186.2263	187.592		268.9	148.278
162.089	358.947	200.168	168.08	186.3841	187.705		269.116	148.328
162.165	359.289	200.29	168.223	186.4997	187.822		269.262	148.475
162.301	359.62	200.613	168.34	186.715	188.077		269.546	148.581
162.422	359.979	200.775	168.542	186.8828	188.146		269.821	148.603
162.533	360.179	200.982	168.628	187.0601	188.281		270.027	148.669
162.663	360.48	201.182	168.706	187.1971	188.412		270.358	148.779
162.742	360.79	201.429	168.791	187.3829	188.53		270.579	148.832
162.847	361.099	201.669	169.005	187.5167	188.732		270.747	149.145
162.982	361.416	201.935	169.17	187.6519	188.863		270.88	149.454
163.088	361.803	202.139	169.246	187.8025	188.967		271.328	149.504
163.281	362.113	202.396	169.478	187.9688	189.434		271.572	149.546
163.427	362.684	202.579	169.614	188.0887	189.507		271.755	149.59
163.588	362.941	202.746	169.696	188.2361	189.589		272.02	149.69
163.705	363.198	202.92	169.89	188.3713	189.752		272.197	149.729
163.778	363.486	203.123	170.012	188.5351	190.192		272.382	149.785
163.927	363.871	203.416	170.113	188.6927	190.348		272.594	149.936
164.042	364.244	203.577	170.271	188.9127	190.452		272.79	150.046
164.146	364.525	203.797	170.389	189.0647	190.695		272.938	150.148
164.31	364.79	203.982	170.512	189.2175	190.904		273.104	150.211
164.408	364.953	204.181	170.732	189.394	191.03		273.303	150.358
164.505	365.2	204.431	170.891	189.6063	191.332		273.515	150.411
164.652	365.481	204.685	170.982	189.7477	191.526		273.724	150.452
164.936	365.722	204.869	171.114	189.8543	191.685		273.879	150.598
165.055	366.012	205.169	171.246	190.0458	191.796		274.058	150.62
165.218	366.299	205.422	171.368	190.1639	191.907		274.25	150.672
165.286	366.584	205.626	171.493	190.2802	192.094		274.435	150.702
165.405	366.859	205.904	171.617	190.4881	192.17		274.593	150.944
165.51	367.128	206.093	171.755	190.6528	192.415		274.839	151.205
165.648	367.364	206.278	171.904	190.7938	192.62		275.19	151.239
165.794	367.692	206.44	171.995	191.029	192.79		275.486	151.268
165.894	367.963	206.753	172.095	191.1474	192.883		275.669	151.343
165.988	368.265	206.908	172.237	191.2476	193.046		275.839	151.378
166.132	368.531	207.117	172.35	191.4082	193.13		276.045	151.619
166.232	368.759	207.298	172.486	191.6213	193.267		276.252	151.666
166.349	369.051	207.503	172.601	191.7171	193.413		276.411	151.695
166.477	369.336	207.655	172.734	191.9745	193.585		276.614	151.742
166.581	369.724	207.996	172.843	192.0923	193.662		276.76	152.148
166.701	370.065	208.165	173.018	192.267	193.885		276.989	152.246
166.855	370.396	208.479	173.128	192.4249	194.021		277.145	152.289
166.936	370.652	208.681	173.212	192.5582	194.195		277.271	152.328
167.24	370.922	208.848	173.305	192.7204	194.264		277.51	152.393
167.384	371.157	209.109	173.571	192.8389	194.425		277.717	152.513
167.496	371.56	209.426	173.645	193.0807	194.554		277.906	152.648
167.6	371.874	209.584	173.819	193.1816	194.755		278.07	152.746
167.7	372.081	209.699	173.972	193.371	194.832		278.209	152.817
167.825	372.426	209.989	174.102	193.5279	195.048		278.391	152.837
167.937	372.68	210.267	174.25	193.6758	195.115		278.606	152.958
168.022	372.964	210.503	174.348	193.8074	195.404		278.771	152.979
168.213	373.217	210.681	174.46	194.063	195.592		278.962	153.334
168.296	373.433	210.95	174.598	194.1779	195.864		279.197	153.484
168.483	373.613	211.243	174.742	194.35	195.979		279.35	153.511
168.621	373.871	211.347	174.945	194.4835	196.038		279.515	153.602
168.755	374.239	211.573	175.018	194.6682	196.306		279.716	153.657
168.848	374.467	211.856	175.098	194.8127	196.405		279.904	153.692
169.006	374.768	212.021	175.264	194.9779	196.696		280.061	153.808
169.102	374.993	212.247	175.346	195.0805	196.764		280.284	153.944
