G5oh_A01_n4	G6oh_A02_n3	G6oh_A03_n6	G6oh_A03_n7	G6oh_A03_n3	G7oh_A03_n4	G8oh_A01_n2	G8oh_A01_n3	G8oh_A03_n3
8.43832	19.6373	9.5828	8.49152	10.26408	8.5852	107.865	11.2222	6.63048
8.55616	19.959	9.66736	8.60544	10.42216	8.69968	107.913	11.334	6.66232
8.70016	20.219	9.84296	8.81048	10.53352	8.8468	107.953	11.4581	6.76264
8.84848	20.4938	9.96288	8.88136	10.70184	8.92504	109.598	11.8763	6.80528
8.94944	20.7815	10.0736	9.03344	10.84512	9.1644	109.672	12.1425	7.17632
9.04248	21.0762	10.1937	9.15536	11.0476	9.23232	109.784	12.3719	7.21384
9.1648	21.3608	10.3246	9.31696	11.13496	9.32656	110.688	12.5636	7.36144
9.28472	21.6178	10.47	9.43016	11.26088	9.38344	111.146	12.8421	7.40768
9.43544	21.9583	10.529	9.5388	11.39984	9.68176	111.429	13.0778	7.46456
9.53368	22.2411	10.6496	9.70816	11.59944	9.76736	111.475	13.2736	7.55832
9.70392	22.4518	10.775	9.85616	11.7068	9.83536	112.366	13.3766	7.61696
9.84616	22.7734	10.9639	9.9664	11.90552	10.0275	112.466	13.6038	7.64256
9.96928	23.087	11.1055	10.1626	12.02808	10.167	113.036	13.7214	7.72576
10.115	23.3506	11.2423	10.3015	12.158	10.2114	113.398	13.8818	7.78128
10.22	23.6325	11.3997	10.3986	12.31896	10.411	114.238	14.0756	7.94248
10.3697	23.8696	11.5142	10.549	12.47712	10.4584	114.321	14.1914	8.0064
10.5502	24.1756	11.5983	10.6933	12.60704	10.5559	114.402	14.3601	8.02936
10.6386	24.4394	11.8152	10.8013	12.72635	10.6002	114.434	14.4941	8.12064
10.8008	24.7301	11.9506	10.8993	12.9048	10.6953	114.454	14.6501	8.1668
10.9267	24.9792	12.0296	11.0576	13.02752	10.7857	116.094	14.8079	8.2788
11.0382	25.2616	12.209	11.1864	13.14728	10.8542	116.592	14.9244	8.35616
11.2206	25.4836	12.3792	11.3094	13.25032	11.0139	117.22	14.9929	8.38168
11.3234	25.876	12.5082	11.4904	13.43952	11.0842	117.49	15.1615	8.50744
11.4724	26.1519	12.6485	11.5993	13.56576	11.1417	118.009	15.2954	8.53528
11.5944	26.4354	12.8047	11.7316	13.7984	11.2418	118.584	15.4117	8.6048
11.7691	26.7322	12.9074	11.8566	13.93168	11.5556	118.656	15.5197	9.70864
11.8653	27.0253	13.0008	11.9671	14.08784	11.6703	118.766	15.6065	9.78304
11.9937	27.2757	13.1603	12.1176	14.22536	11.8426	119.556	15.7031	9.85456
12.1842	27.54	13.386	12.2258	14.40392	11.898	119.648	15.8092	9.92752
12.3124	27.817	13.5491	12.3596	14.57216	11.9847	119.867	15.8724	9.99256
12.4264	28.1448	13.6635	12.4862	14.70352	12.0747	120.488	16.5354	10.2905
12.6319	28.4606	13.8002	12.5912	14.84544	12.1729	120.826	16.7332	10.3271
